1005,978,102,67.00
1105,155,66,51.00
1016,531,34,51.00
0282,090,63,71.00
0382,095,90,69.00
1811,535,61,53.00
1816,547,78,60.00
0280,100,52,46.00
0109,115,68,54.00
0184,120,50,64.00
2050,150,69,56.00
3050,175,44,65.00
0286,180,149,81.00
1017,529,51,78.00
3550,200,116,83.00
0389,240,61,50.00
0173,250,38,52.00
0190,280,96,70.00
1605,355,76,48.00
0605,293,122,79.00
0205,979,104,69.00
0194,298,118,84.00
0191,300,107,69.00
1205,443,152,81.00
1052,400,98,87.00
1013,502,49,46.00
0295,415,78,82.00
0200,420,114,86.00
1812,541,84,54.00
2052,425,75,74.00
0376,430,94,83.00
0196,445,131,76.00
2054,450,61,75.00
3054,475,63,74.00
0180,480,72,82.00
0285,490,55,39.00
0305,463,179,90.00
0395,493,106,75.00
1015,524,66,70.00
0495,495,60,59.00
0275,500,87,87.00
5054,550,36,51.00
1405,728,135,91.00
5554,600,86,54.00
0210,501,73,73.00
0397,628,54,46.00
0298,630,91,83.00
0289,635,78,56.00
0199,638,62,53.00
0288,645,74,57.00
2056,650,66,80.00
0208,503,71,85.00
0294,660,74,46.00
1020,544,17,55.00
4056,675,52,46.00
1215,548,19,49.00
0287,730,66,65.00
0708,740,0,0.00
0705,853,83,90.00
0398,760,47,76.00
0608,504,81,77.00
5056,775,37,63.00
0391,780,71,82.00
0409,527,121,95.00
0400,798,122,89.00
1014,512,90,86.00
0100,801,72,78.00
1058,800,38,31.00
0309,519,64,69.00
0291,805,35,66.00
0394,818,47,51.00
0494,820,122,92.00
1110,521,110,79.00
0300,860,40,56.00
0296,875,126,77.00
5058,925,84,91.00
0505,940,56,56.00
0498,935,90,80.00
0509,508,86,78.00
0193,975,64,81.00
1310,513,63,91.00
1305,277,71,51.00
1810,520,92,81.00
