"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2015-16","Appling County High School","Appling County","09,10,11,12",1,0,22,13,2,62,5,64,11.6,2,,,,,34,3.5,114,11.6,8,0.8,0,0,581,59.1,42,5.7,70,7.1,54,46
"School","0177","601","2015-16","Appling County Elementary School","Appling County","02,03,04,05",1,0,30,20,5,44,9,80,13.7,16,,,95,17.4,,,75,13.7,55,10.1,0,0,,,0,0,15,2.7,49,51
"School","0195","601","2015-16","Appling County Middle School","Appling County","06,07,08",1,0,20,12,3,64,4,71,12.1,2,225,29.9,,,,,91,12.1,11,1.5,0,0,,,34,4.5,44,5.9,52,48
"School","0277","601","2015-16","Appling County Primary School","Appling County","PK,KK,01,02",1,0,29,22,4,44,11,81,18,20,,,144,25.2,,,103,18,113,19.8,33,21,,,0,0,7,1.2,51,49
"School","1050","601","2015-16","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,7,8,3,83,2,66,12,5,,,85,23.7,,,43,12,19,5.3,13,25.5,,,0,0,25,7,49,51
"School","5050","601","2015-16","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,11,14,5,70,2,77,10.5,9,,,53,31,,,18,10.5,18,10.5,0,0,,,0,0,5,2.9,53,47
"District","ALL","601","2015-16","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,22,15,3,59,6,72,13.1,8,225,29.9,377,22.9,34,3.5,444,13.1,224,6.6,46,20,581,59.1,76,2.4,166,4.9,52,48
"School","0103","602","2015-16","Atkinson County High School","Atkinson County","09,10,11,12",0,0,19,33,1,48,1,85,12.2,1,,,,,110,24,56,12.2,2,0.4,0,0,311,67.9,8,2.2,31,6.8,52,48
"School","0111","602","2015-16","Atkinson County Middle School","Atkinson County","06,07,08",0,0,15,35,2,48,5,85,16.9,4,99,26.2,,,,,64,16.9,14,3.7,0,0,,,3,0.8,26,6.9,55,45
"School","0187","602","2015-16","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,25,31,2,43,10,99,11.4,17,,,75,38.9,,,22,11.4,25,13,0,0,,,0,0,,,45,55
