"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0302","605","2019-20","Lakeview Primary","Baldwin County","PK,KK,01,02",2,0,55,4,7,32,0,93,12.3,4,,,251,36.3,,,85,12.3,25,3.6,34,12.1,,,0,0,34,4.9,48,52
"School","0303","605","2019-20","Midway Hills Academy","Baldwin County","03,04,05",1,0,64,0,5,30,0,93,12.3,0,,,293,57,,,63,12.3,0,0,0,0,,,0,0,40,7.8,51,49
"District","ALL","605","2019-20","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,67,2,4,26,0,93,13,1,549,47.6,1025,43.2,265,21.8,617,13,40,0.8,34,12.1,593,48.7,58,1.3,268,5.6,50,50
"School","0105","606","2019-20","Banks County Middle School","Banks County","06,07,08",1,0,1,11,4,84,0,62,14.7,7,28,4.1,,,,,101,14.7,18,2.6,0,0,,,7,1,60,8.7,52,48
"School","0107","606","2019-20","Banks County Elementary School","Banks County","03,04,05",0,0,2,8,5,84,0,65,17.1,6,,,109,18.3,,,102,17.1,32,5.4,0,0,,,0,0,40,6.7,51,49
"School","0199","606","2019-20","Banks County High School","Banks County","09,10,11,12",1,0,2,9,2,86,0,51,14.6,2,,,,,104,12.1,125,14.6,15,1.7,0,0,620,72.2,1,0.2,85,9.9,54,46
"School","0205","606","2019-20","Banks County Primary School","Banks County","PK,KK,01,02",1,0,2,10,3,84,0,60,13.1,4,,,176,29.8,,,77,13.1,24,4.1,16,94.1,,,0,0,14,2.4,53,47
"District","ALL","606","2019-20","All Column Values","Banks County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,2,9,3,85,0,59,14.8,5,28,4.1,285,24.1,104,12.1,405,14.8,89,3.3,16,94.1,620,72.2,8,0.3,199,7.3,52,48
"School","0101","607","2019-20","Apalachee High School","Barrow County","09,10,11,12",4,0,15,20,5,55,0,49,13.6,6,,,,,483,24.6,268,13.6,81,4.1,0,0,1138,57.9,31,2,212,10.8,51,49
"School","0105","607","2019-20","County Line Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,0,5,17,9,63,1,53,18.4,16,,,148,28.4,,,96,18.4,68,13.1,11,22.4,,,0,0,56,10.7,54,46
