"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2021-22","Appling County High School","Appling County","09,10,11,12",1,0,23,16,4,57,4,80,12.3,4,"",,"",,"37",3.6,"126",12.3,"18",1.8,"TFS",0,"630",61.3,"64",8.2,"64",6.2,51,49
"School","0177","601","2021-22","Appling County Elementary School","Appling County","02,03,04,05",1,0,25,26,3,45,8,80,17.7,22,"",,"103",20.7,"",,"88",17.7,"79",15.9,"TFS",0,"",,"TFS",0,"34",6.8,46,54
"School","0195","601","2021-22","Appling County Middle School","Appling County","06,07,08",0,0,22,19,4,54,6,80,17,14,"224",28.3,"",,"",,"135",17,"40",5.1,"TFS",0,"",,"25",3.1,"55",6.9,52,48
"School","0277","601","2021-22","Appling County Primary School","Appling County","PK,KK,01,02",0,0,24,21,4,51,7,80,14.5,17,"",,"200",39.3,"",,"74",14.5,"81",15.9,"28",19.6,"",,"TFS",0,"TFS",1,49,51
"School","1050","601","2021-22","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,5,7,2,85,2,80,10.9,5,"",,"94",28.4,"",,"36",10.9,"14",4.2,"11",20.4,"",,"TFS",0,"26",7.9,50,50
"School","5050","601","2021-22","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,4,14,9,74,7,80,17.1,11,"",,"26",22.2,"",,"20",17.1,"13",11.1,"TFS",0,"",,"TFS",0,"TFS",6.8,55,45
"District","ALL","601","2021-22","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,21,18,4,57,6,80,14.6,11,"224",28.3,"423",29.1,"37",3.6,"479",14.6,"245",7.5,"39",18.2,"630",61.3,"89",2.9,"191",5.8,50,50
"School","0103","602","2021-22","Atkinson County High School","Atkinson County","09,10,11,12",0,0,14,41,2,43,3,91,11.4,10,"",,"",,"138",31.4,"50",11.4,"20",4.5,"TFS",0,"272",61.8,"TFS",2.4,"21",4.8,50,50
"School","0111","602","2021-22","Atkinson County Middle School","Atkinson County","06,07,08",0,0,16,41,2,41,4,90,15.2,26,"67",17.8,"",,"",,"57",15.2,"27",7.2,"TFS",0,"",,"TFS",1.3,"13",3.5,53,47
"School","0187","602","2021-22","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,25,31,1,44,5,94,0.7,20,"",,"76",52.8,"",,"TFS",0.7,"20",13.9,"TFS",8.7,"",,"TFS",0,"TFS",1.4,48,52
"School","0190","602","2021-22","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,11,47,2,40,7,89,14.8,28,"",,"215",38.3,"",,"83",14.8,"113",20.1,"TFS",4.5,"",,"TFS",0,"TFS",1.6,51,49
"District","ALL","602","2021-22","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,15,42,2,41,5,91,12.6,22,"67",17.8,"291",41.3,"138",31.4,"191",12.6,"180",11.8,"TFS",5.6,"272",61.8,"13",0.9,"45",3,51,49
"School","0102","603","2021-22","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,29,11,3,55,4,90,16.6,8,"",,"216",45.4,"",,"79",16.6,"37",7.8,"17",17.2,"",,"TFS",0,"32",6.7,52,48
"School","0202","603","2021-22","Bacon County Middle School","Bacon County","06,07,08",0,0,20,15,5,60,4,78,17.4,12,"50",10,"",,"",,"87",17.4,"14",2.8,"TFS",0,"",,"TFS",1.2,"49",9.8,49,51
"School","0302","603","2021-22","Bacon County High School","Bacon County","09,10,11,12",0,0,19,16,3,61,4,27,14.6,3,"",,"",,"118",19.5,"88",14.6,"16",2.6,"TFS",0,"457",75.7,"16",3.5,"50",8.3,50,50
"School","3050","603","2021-22","Bacon County Elementary School","Bacon County","03,04,05",0,0,22,15,7,56,3,90,15.9,9,"",,"156",35.5,"",,"70",15.9,"29",6.6,"TFS",0,"",,"TFS",0,"37",8.4,55,45
"District","ALL","603","2021-22","All Column Values","Bacon County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,22,15,5,58,4,68,16,8,"50",10,"372",40.6,"118",19.5,"324",16,"96",4.8,"17",17.2,"457",75.7,"22",1.2,"168",8.3,52,48
"School","0105","604","2021-22","Baker County K12 School","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,57,13,5,24,2,100,15.1,6,"68",100,"14",10.1,"TFS",0,"43",15.1,"TFS",0,"TFS",9.5,"37",48.1,"TFS",0,"",,54,46
"District","ALL","604","2021-22","All Column Values","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,57,13,5,24,2,100,15.1,6,"68",100,"14",10.1,"TFS",0,"43",15.1,"TFS",0,"TFS",9.5,"37",48.1,"TFS",0,"",,54,46
"School","0100","605","2021-22","Oak Hill MS","Baldwin County","06,07,08",1,0,67,4,5,23,0,93,14.1,2,"485",44,"",,"",,"156",14.1,"TFS",0.7,"TFS",0,"",,"187",17.2,"70",6.3,50,50
"School","0189","605","2021-22","Baldwin High School","Baldwin County","09,10,11,12",1,0,73,4,4,18,0,93,10.3,1,"",,"",,"244",19.2,"131",10.3,"TFS",0.6,"TFS",0,"636",50,"162",16.5,"31",2.4,49,51
"School","0300","605","2021-22","Lakeview Academy","Baldwin County","03,04,05",2,0,63,5,5,25,0,93,16.3,4,"",,"228",34.2,"",,"109",16.3,"23",3.4,"TFS",0,"",,"TFS",0,"71",10.6,51,49
"School","0301","605","2021-22","Midway Hills Primary","Baldwin County","KK,01,02",0,0,62,3,6,29,0,93,11.5,0,"",,"182",38,"",,"55",11.5,"TFS",0,"TFS",0,"",,"TFS",0,"20",4.2,50,50
"School","0302","605","2021-22","Lakeview Primary","Baldwin County","PK,KK,01,02",2,0,58,6,7,27,0,93,10,4,"",,"162",27.5,"",,"59",10,"22",3.7,"10",4,"",,"TFS",0,"15",2.5,47,53
"School","0303","605","2021-22","Midway Hills Academy","Baldwin County","03,04,05",1,0,63,1,7,27,0,93,12.8,0,"",,"308",62.3,"",,"63",12.8,"TFS",0,"TFS",0,"",,"TFS",0,"30",6.1,49,51
"District","ALL","605","2021-22","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,66,4,5,23,0,93,12.4,2,"485",44,"880",39.5,"244",19.2,"573",12.4,"60",1.3,"10",4,"636",50,"349",8.2,"237",5.1,49,51
"School","0105","606","2021-22","Banks County Middle School","Banks County","06,07,08",1,0,2,12,5,80,0,22,16.9,9,"TFS",0,"",,"",,"111",16.9,"28",4.3,"TFS",0,"",,"TFS",1.2,"52",7.9,54,46
"School","0107","606","2021-22","Banks County Elementary School","Banks County","03,04,05",1,0,1,9,3,87,0,22,13.4,6,"",,"151",25.5,"",,"79",13.4,"30",5.1,"TFS",0,"",,"TFS",0,"59",10,51,49
