"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2012-13","Appling County High School","Appling County","09,10,11,12",1,0,22,9,1,67,3,59,14,1,,,,,54,5.4,139,14,7,0.7,0,0,587,58.9,60,7.7,86,8.6,55,45
"School","0109","601","2012-13","Baxley Wilderness Institute","Appling County","07,08,09,10",,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
"School","0177","601","2012-13","Appling County Elementary School","Appling County","02,03,04,05",1,0,30,15,3,50,5,79,14.6,5,,,70,13.1,,,78,14.6,19,3.6,0,0,,,0,0,9,1.7,52,48
"School","0195","601","2012-13","Appling County Middle School","Appling County","06,07,08",1,0,22,13,2,62,5,72,12.7,3,229,30.6,,,,,95,12.7,13,1.7,0,0,,,19,2.5,68,9.1,53,47
"School","0277","601","2012-13","Appling County Primary School","Appling County","PK,KK,01,02",1,0,30,18,5,46,8,83,12.1,17,,,148,24.8,,,72,12.1,95,15.9,23,13.9,,,0,0,11,1.8,50,50
"School","1050","601","2012-13","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,3,4,2,91,1,55,9.6,2,,,55,17,,,31,9.6,4,1.2,0,0,,,0,0,21,6.5,49,51
"School","5050","601","2012-13","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,6,9,3,82,4,64,8.2,4,,,17,13.9,,,10,8.2,4,3.3,0,0,,,0,0,,,47,53
"District","ALL","601","2012-13","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,22,12,3,62,4,69,13,5,229,30.6,290,18.4,54,5.4,432,13,142,4.3,23,10,591,58.6,79,2.5,195,5.8,52,48
"School","0103","602","2012-13","Atkinson County High School","Atkinson County","09,10,11,12",0,0,20,32,1,47,3,80,9.4,3,,,,,93,19.9,44,9.4,12,2.6,0,0,329,70.3,3,0.8,50,10.7,52,48
"School","0111","602","2012-13","Atkinson County Middle School","Atkinson County","06,07,08",0,0,17,32,1,49,3,86,17.3,6,109,29.1,,,,,65,17.3,10,2.7,0,0,,,4,1,17,4.5,51,49
"School","0187","602","2012-13","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,22,31,2,44,8,90,18.2,12,,,92,44,,,38,18.2,17,8.1,4,15.4,,,0,0,4,1.9,46,54
"School","0190","602","2012-13","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,15,39,2,43,3,86,13.7,21,,,208,35.3,,,81,13.7,88,14.9,1,1.2,,,0,0,20,3.4,53,47
"District","ALL","602","2012-13","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,18,35,1,46,4,85,13.9,11,109,29.1,300,37.5,93,19.9,228,13.9,127,7.7,5,4.5,329,70.3,7,0.5,91,5.5,51,49
"School","0102","603","2012-13","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,23,14,4,58,5,73,15.5,13,,,127,26,,,76,15.5,45,9.2,19,18.4,,,0,0,15,3.1,54,46
"School","0202","603","2012-13","Bacon County Middle School","Bacon County","06,07,08",0,0,15,10,3,71,2,70,14.5,4,54,11.3,,,,,69,14.5,5,1.1,0,0,,,5,1.1,68,14.3,51,49
"School","0302","603","2012-13","Bacon County High School","Bacon County","09,10,11,12",1,0,20,6,3,70,1,62,12.3,2,,,,,149,28.7,64,12.3,6,1.2,0,0,446,85.8,18,4.5,30,5.8,47,53
"School","3050","603","2012-13","Bacon County Elementary School","Bacon County","03,04,05",0,0,21,8,3,67,2,66,11,6,,,82,18.7,,,48,11,15,3.4,0,0,,,0,0,52,11.9,48,52
"District","ALL","603","2012-13","All Column Values","Bacon County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,20,10,3,67,2,68,13.4,6,54,11.3,209,22.5,149,28.7,257,13.4,71,3.7,19,18.4,446,85.8,23,1.3,165,8.6,50,50
"School","0105","604","2012-13","Baker County K12 School","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,74,7,3,16,2,100,15.8,3,29,38.7,44,28.4,27,33.3,49,15.8,0,0,3,12.5,45,55.6,2,0.7,,,44,56
"District","ALL","604","2012-13","All Column Values","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,74,7,3,16,2,100,15.8,3,29,38.7,44,28.4,27,33.3,49,15.8,0,0,3,12.5,45,55.6,2,0.7,,,44,56
"School","0100","605","2012-13","Oak Hill MS","Baldwin County","06,07,08",1,0,68,2,3,27,0,88,12.2,1,500,41.6,,,,,147,12.2,1,0.1,0,0,,,105,8.8,111,9.2,50,50
"School","0104","605","2012-13","Eagle Ridge Elementary School","Baldwin County","KK,01,02,03,04,05",0,0,79,0,2,18,0,91,6.8,0,,,186,23.2,,,55,6.8,0,0,26,100,,,0,0,30,3.7,52,48
"School","0189","605","2012-13","Baldwin High School","Baldwin County","09,10,11,12",1,0,69,2,2,26,0,75,14.1,1,,,,,194,15,182,14.1,2,0.2,0,0,691,53.4,182,17.9,148,11.4,48,52
"School","0194","605","2012-13","Midway Elementary School","Baldwin County","KK,01,02,03,04,05",1,0,61,0,5,33,0,90,9.6,0,,,144,25.6,,,54,9.6,0,0,0,0,,,0,0,20,3.6,55,45
