"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2018-19","Appling County High School","Appling County","09,10,11,12",1,0,22,12,3,61,5,90,12.5,2,,,,,47,4.8,121,12.5,14,1.4,0,0,632,65.2,59,8.1,58,6,52,48
"School","0177","601","2018-19","Appling County Elementary School","Appling County","02,03,04,05",1,0,29,22,5,44,10,90,17.1,19,,,136,24.7,,,94,17.1,72,13.1,0,0,,,0,0,26,4.7,49,51
"School","0195","601","2018-19","Appling County Middle School","Appling County","06,07,08",1,0,24,16,4,55,6,90,13.1,10,234,29.4,,,,,104,13.1,30,3.8,0,0,,,30,3.7,62,7.8,50,50
"School","0277","601","2018-19","Appling County Primary School","Appling County","PK,KK,01,02",1,0,25,24,4,45,11,90,16.1,21,,,122,23.6,,,83,16.1,105,20.3,24,15.3,,,0,0,9,1.7,49,51
"School","1050","601","2018-19","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",1,0,10,7,3,80,2,90,14.6,6,,,76,20.1,,,55,14.6,19,5,7,14,,,0,0,31,8.2,52,48
"School","5050","601","2018-19","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,10,13,3,74,3,90,13.8,10,,,39,25.7,,,21,13.8,12,7.9,1,6.3,,,0,0,15,9.9,53,47
"District","ALL","601","2018-19","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,22,16,4,57,6,90,14.2,10,234,29.4,373,23.4,47,4.8,478,14.2,252,7.5,32,14.3,632,65.2,89,2.8,200,5.9,51,49
"School","0103","602","2018-19","Atkinson County High School","Atkinson County","09,10,11,12",0,0,17,37,1,45,5,80,13.2,4,,,,,139,29.1,63,13.2,14,2.9,0,0,287,60,7,1.9,30,6.3,54,46
"School","0111","602","2018-19","Atkinson County Middle School","Atkinson County","06,07,08",0,0,14,42,2,42,8,86,15.8,17,96,25.7,,,,,59,15.8,17,4.5,0,0,,,0,0,14,3.7,51,49
"School","0187","602","2018-19","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,27,27,0,46,10,90,6.2,19,,,62,38.3,,,10,6.2,16,9.9,0,0,,,0,0,2,1.2,52,48
"School","0190","602","2018-19","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,14,45,2,39,11,86,10.5,34,,,197,34.6,,,60,10.5,136,23.9,5,5.7,,,0,0,3,0.5,51,49
"District","ALL","602","2018-19","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,16,40,1,43,8,85,12.1,19,96,25.7,259,35.4,139,29.1,192,12.1,183,11.6,5,4.5,287,60,7,0.5,49,3.1,52,48
"School","0102","603","2018-19","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,22,15,6,57,5,87,14.3,8,,,170,36.3,,,67,14.3,39,8.3,14,15.1,,,0,0,28,6,54,46
"School","0202","603","2018-19","Bacon County Middle School","Bacon County","06,07,08",0,0,21,15,4,59,6,68,17.8,9,129,26.1,,,,,88,17.8,9,1.8,0,0,,,11,2.2,47,9.5,53,47
"School","0302","603","2018-19","Bacon County High School","Bacon County","09,10,11,12",1,0,17,12,3,67,4,58,11.3,2,,,,,65,11,67,11.3,7,1.2,0,0,430,72.8,15,3.4,71,12,52,48
"School","3050","603","2018-19","Bacon County Elementary School","Bacon County","03,04,05",0,0,22,15,5,57,5,86,16.4,11,,,157,31.7,,,81,16.4,36,7.3,0,0,,,0,0,41,8.3,49,51
"District","ALL","603","2018-19","All Column Values","Bacon County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,20,14,4,60,5,74,14.8,7,129,26.1,327,34,65,11,303,14.8,91,4.4,14,15.1,430,72.8,26,1.4,187,9.1,52,48
"School","0105","604","2018-19","Baker County K12 School","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,60,12,6,23,2,94,18.8,0,62,96.9,74,57.8,0,0,51,18.8,0,0,2,20,40,50.6,0,0,,,54,46
"District","ALL","604","2018-19","All Column Values","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,60,12,6,23,2,94,18.8,0,62,96.9,74,57.8,0,0,51,18.8,0,0,2,20,40,50.6,0,0,,,54,46
"School","0100","605","2018-19","Oak Hill MS","Baldwin County","06,07,08",1,0,72,3,3,21,0,93,12.2,1,529,45.5,,,,,142,12.2,7,0.6,0,0,,,128,11.4,74,6.4,52,48
"School","0189","605","2018-19","Baldwin High School","Baldwin County","09,10,11,12",1,0,72,2,3,22,0,93,10.7,0,,,,,240,19.9,129,10.7,4,0.3,0,0,609,50.6,28,3.1,58,4.8,48,52
"School","0300","605","2018-19","Lakeview Academy","Baldwin County","03,04,05",3,0,64,4,3,26,0,93,14.7,4,,,318,46.8,,,100,14.7,13,1.9,0,0,,,0,0,66,9.7,52,48
"School","0301","605","2018-19","Midway Hills Primary","Baldwin County","KK,01,02",1,0,62,1,5,31,0,93,11.5,0,,,199,35.7,,,64,11.5,0,0,0,0,,,0,0,21,3.8,52,48
"School","0302","605","2018-19","Lakeview Primary","Baldwin County","PK,KK,01,02",3,0,57,4,5,30,0,93,13.7,3,,,240,34.9,,,94,13.7,19,2.8,21,7.4,,,0,0,33,4.8,51,49
"School","0303","605","2018-19","Midway Hills Academy","Baldwin County","03,04,05",1,0,67,1,5,27,0,93,11.7,0,,,322,57.1,,,66,11.7,0,0,0,0,,,0,0,34,6,50,50
"District","ALL","605","2018-19","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,67,3,4,25,0,93,12.3,1,529,45.5,1079,43.4,240,19.9,595,12.3,43,0.9,21,7.4,609,50.6,156,3.5,286,5.9,50,50
"School","0105","606","2018-19","Banks County Middle School","Banks County","06,07,08",1,0,1,10,3,86,0,61,15.1,5,45,6.5,,,,,105,15.1,12,1.7,0,0,,,13,1.9,64,9.2,51,49
"School","0107","606","2018-19","Banks County Elementary School","Banks County","03,04,05",1,0,2,10,5,82,0,66,18.5,8,,,122,20.1,,,112,18.5,37,6.1,0,0,,,0,0,21,3.5,51,49
"School","0199","606","2018-19","Banks County High School","Banks County","09,10,11,12",1,0,2,9,2,87,0,51,13.8,2,,,,,101,12,116,13.8,13,1.5,0,0,629,74.6,2,0.3,85,10.1,53,47
"School","0205","606","2018-19","Banks County Primary School","Banks County","PK,KK,01,02",0,0,2,7,3,88,0,60,12.1,4,,,170,28.6,,,72,12.1,21,3.5,12,100,,,0,0,18,3,52,48
"District","ALL","606","2018-19","All Column Values","Banks County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,2,9,3,86,0,59,14.8,4,45,6.5,292,24.3,101,12,405,14.8,83,3,12,100,629,74.6,15,0.6,188,6.9,52,48
"School","0101","607","2018-19","Apalachee High School","Barrow County","09,10,11,12",4,0,15,21,5,56,0,54,13,6,,,,,500,26.5,245,13,73,3.9,0,0,1056,56,24,1.7,185,9.8,51,49
"School","0105","607","2018-19","County Line Elementary School","Barrow County","PK,KK,01,02,03,04,05",7,0,7,19,6,61,1,63,15.7,19,,,154,29.6,,,82,15.7,74,14.2,8,16.3,,,0,0,51,9.8,52,48
"School","0106","607","2018-19","Haymon-Morris Middle School","Barrow County","06,07,08",4,0,12,21,5,57,0,57,14.1,15,74,8.7,,,,,120,14.1,30,3.5,0,0,,,3,0.3,121,14.2,49,51
"School","0114","607","2018-19","Bear Creek Middle School","Barrow County","06,07,08",4,0,14,20,4,59,0,57,16.1,14,132,17.6,,,,,121,16.1,28,3.7,0,0,,,6,0.8,107,14.2,50,50
"School","0189","607","2018-19","Kennedy Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,19,23,7,46,0,73,17.6,19,,,208,24.8,,,148,17.6,126,15,5,10.6,,,0,0,59,7,51,49
"School","0193","607","2018-19","Bramlett Elementary School","Barrow County","PK,KK,01,02,03,04,05",8,0,6,15,5,67,0,45,13.4,17,,,181,27.3,,,89,13.4,80,12.1,5,20.8,,,0,0,44,6.6,53,47
"School","0198","607","2018-19","Westside Middle School","Barrow County","06,07,08",4,0,14,19,7,56,0,69,16,13,157,19.9,,,,,126,16,34,4.3,0,0,,,11,1.4,75,9.5,51,49
"School","0205","607","2018-19","Bethlehem Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,0,9,23,4,60,0,63,15.3,17,,,258,36.1,,,109,15.3,89,12.5,16,20.3,,,0,0,45,6.3,50,50
