"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2013-14","Appling County High School","Appling County","09,10,11,12",1,0,23,10,2,64,4,72,14.6,2,,,,,48,4.8,147,14.6,10,1,0,0,640,63.7,45,6.1,81,8.1,53,47
"School","0177","601","2013-14","Appling County Elementary School","Appling County","02,03,04,05",1,0,31,16,4,49,6,87,14.2,9,,,71,12.9,,,78,14.2,30,5.5,0,0,,,0,0,23,4.2,51,49
"School","0195","601","2013-14","Appling County Middle School","Appling County","06,07,08",1,0,21,13,3,63,4,73,10.7,2,262,34.7,,,,,81,10.7,10,1.3,0,0,,,29,3.8,64,8.5,54,46
"School","0277","601","2013-14","Appling County Primary School","Appling County","PK,KK,01,02",1,0,30,19,3,47,9,94,11.9,19,,,153,24.9,,,73,11.9,110,17.9,29,16.7,,,0,0,3,0.5,49,51
"School","1050","601","2013-14","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,5,6,2,87,2,72,10.7,4,,,72,22,,,35,10.7,9,2.8,1,2.3,,,0,0,22,6.7,46,54
"School","5050","601","2013-14","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,7,7,4,82,4,84,9.6,2,,,27,19.9,,,13,9.6,4,2.9,1,4.5,,,0,0,7,5.1,49,51
"District","ALL","601","2013-14","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,23,13,3,61,5,79,12.6,6,262,34.7,323,19.8,48,4.8,427,12.6,173,5.1,31,12.9,640,63.7,74,2.3,200,5.9,51,49
"School","0103","602","2013-14","Atkinson County High School","Atkinson County","09,10,11,12",0,0,20,33,0,47,2,80,12,4,,,,,113,24.3,56,12,9,1.9,0,0,326,70.1,15,4.4,38,8.2,49,51
"School","0111","602","2013-14","Atkinson County Middle School","Atkinson County","06,07,08",0,0,16,35,2,46,2,86,15.4,4,135,33.5,,,,,62,15.4,9,2.2,0,0,,,8,2,24,6,53,47
"School","0187","602","2013-14","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,26,25,1,48,4,91,14,10,,,79,36.9,,,30,14,19,8.9,2,9.1,,,0,0,1,0.5,46,54
"School","0190","602","2013-14","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,15,39,2,45,3,86,12.8,24,,,206,36.5,,,72,12.8,99,17.6,3,3.4,,,0,0,16,2.8,53,47
"District","ALL","602","2013-14","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,18,35,1,46,2,85,13.4,12,135,33.5,285,36.6,113,24.3,220,13.4,136,8.3,5,4.5,326,70.1,23,1.5,79,4.8,51,49
"School","0102","603","2013-14","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,24,14,4,57,4,74,17.6,12,,,129,23.9,,,95,17.6,56,10.4,22,21.8,,,0,0,20,3.7,54,46
"School","0202","603","2013-14","Bacon County Middle School","Bacon County","06,07,08",0,0,19,11,3,66,2,67,13.7,4,119,25.4,,,,,64,13.7,7,1.5,0,0,,,9,1.9,63,13.5,53,47
"School","0302","603","2013-14","Bacon County High School","Bacon County","09,10,11,12",1,0,18,6,2,73,1,61,12.6,2,,,,,188,35.3,67,12.6,3,0.6,0,0,383,71.9,14,3.4,53,9.9,47,53
"School","3050","603","2013-14","Bacon County Elementary School","Bacon County","03,04,05",0,0,22,11,3,64,4,69,11.6,10,,,57,12.7,,,52,11.6,19,4.2,0,0,,,0,0,38,8.5,48,52
"District","ALL","603","2013-14","All Column Values","Bacon County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,21,11,3,65,3,68,14,7,119,25.4,186,18.8,188,35.3,278,14,85,4.3,22,21.8,383,71.9,23,1.2,174,8.7,50,50
"School","0105","604","2013-14","Baker County K12 School","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",0,1,70,8,3,18,2,82,16.9,4,75,93.8,43,27.2,0,0,54,16.9,0,0,0,0,56,69.1,4,1.3,1,0.3,45,55
"District","ALL","604","2013-14","All Column Values","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",0,1,70,8,3,18,2,82,16.9,4,75,93.8,43,27.2,0,0,54,16.9,0,0,0,0,56,69.1,4,1.3,1,0.3,45,55
"School","0100","605","2013-14","Oak Hill MS","Baldwin County","06,07,08",1,0,69,2,3,25,0,84,11.5,1,444,38.2,,,,,134,11.5,3,0.3,0,0,,,98,8.7,96,8.3,48,52
"School","0104","605","2013-14","Eagle Ridge Elementary School","Baldwin County","KK,01,02,03,04,05",0,0,79,1,3,16,0,96,6.6,0,,,148,17.5,,,56,6.6,0,0,25,11.8,,,0,0,30,3.5,49,51
"School","0189","605","2013-14","Baldwin High School","Baldwin County","09,10,11,12",1,0,67,2,3,27,0,75,13.5,0,,,,,86,6.4,182,13.5,1,0.1,0,0,731,54.2,180,17.4,138,10.2,49,51
"School","0194","605","2013-14","Midway Elementary School","Baldwin County","KK,01,02,03,04,05",0,0,63,0,6,31,0,88,9.1,0,,,151,26.9,,,51,9.1,0,0,0,0,,,0,0,15,2.7,56,44
"School","0195","605","2013-14","Blandy Hills Elementary School","Baldwin County","KK,01,02,03,04,05",1,0,56,3,4,36,0,84,7.3,3,,,138,18,,,56,7.3,20,2.6,0,0,,,0,0,50,6.5,53,47
"School","0199","605","2013-14","Creekside Elementary School","Baldwin County","KK,01,02,03,04,05",4,0,47,4,3,42,0,68,8.4,2,,,21,2.3,,,75,8.4,15,1.7,0,0,,,0,0,81,9.1,52,48
"District","ALL","605","2013-14","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,64,2,3,29,0,81,9.9,1,444,38.2,458,14.9,86,6.4,554,9.9,39,0.7,25,11.8,731,54.2,278,5.3,409,7.3,51,49
"School","0105","606","2013-14","Banks County Middle School","Banks County","06,07,08",1,0,2,9,2,85,0,67,16.6,4,12,1.7,,,,,119,16.6,12,1.7,0,0,,,0,0,74,10.3,53,47
"School","0107","606","2013-14","Banks County Elementary School","Banks County","03,04,05",1,0,2,7,2,88,0,68,15.3,5,,,57,9,,,97,15.3,11,1.7,0,0,,,0,0,56,8.8,53,47
"School","0199","606","2013-14","Banks County High School","Banks County","09,10,11,12",1,0,3,7,2,88,0,60,14,1,,,,,149,17.2,121,14,6,0.7,0,0,601,69.3,0,0,62,7.2,50,50
"School","0205","606","2013-14","Banks County Primary School","Banks County","PK,KK,01,02",1,0,1,7,4,87,0,69,14,7,,,158,25.2,,,88,14,35,5.6,14,100,,,0,0,29,4.6,51,49
"District","ALL","606","2013-14","All Column Values","Banks County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,2,7,3,87,0,66,14.9,4,12,1.7,215,17,149,17.2,425,14.9,64,2.2,14,100,601,69.3,0,0,221,7.8,52,48
"School","0101","607","2013-14","Apalachee High School","Barrow County","09,10,11,12",5,0,13,13,2,65,0,55,12.3,4,,,,,510,31.4,200,12.3,39,2.4,0,0,1010,62.2,0,0,174,10.7,52,48
"School","0105","607","2013-14","County Line Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,10,19,6,61,0,72,12.1,19,,,243,27.6,,,107,12.1,122,13.8,2,4.5,,,0,0,64,7.3,52,48
"School","0106","607","2013-14","Haymon-Morris Middle School","Barrow County","06,07,08",3,1,13,15,4,64,0,58,9.5,5,58,8.1,,,,,68,9.5,17,2.4,0,0,,,12,1.7,95,13.3,49,51
"School","0113","607","2013-14","Snodon Preparatory School","Barrow County","09,10,11,12",1,0,15,15,3,66,0,72,17.6,2,,,,,20,11.4,31,17.6,2,1.1,0,0,115,65.3,1,0.7,,,56,44
"School","0114","607","2013-14","Bear Creek Middle School","Barrow County","06,07,08",3,1,20,15,5,57,0,64,14.8,6,72,9.8,,,,,109,14.8,20,2.7,0,0,,,10,1.3,84,11.4,54,46
"School","0189","607","2013-14","Kennedy Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,0,18,15,5,58,0,77,13.4,13,,,160,21.4,,,100,13.4,66,8.8,21,36.2,,,0,0,49,6.6,48,52
"School","0193","607","2013-14","Bramlett Elementary School","Barrow County","PK,KK,01,02,03,04,05",11,0,4,10,3,72,0,45,10.9,11,,,254,37.2,,,74,10.9,61,8.9,5,17.9,,,0,0,74,10.9,54,46
"School","0198","607","2013-14","Westside Middle School","Barrow County","06,07,08",5,0,11,17,5,62,0,65,14.7,7,96,14,,,,,101,14.7,25,3.6,0,0,,,9,1.3,70,10.2,55,45
"School","0205","607","2013-14","Bethlehem Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,0,10,17,4,66,0,64,12.1,15,,,268,33.5,,,97,12.1,98,12.3,1,2.2,,,0,0,43,5.4,49,51
"School","0289","607","2013-14","Russell Middle School","Barrow County","06,07,08",8,1,8,14,4,66,0,61,12.9,7,98,12.9,,,,,98,12.9,30,3.9,0,0,,,10,1.3,90,11.8,54,46
"School","0298","607","2013-14","Yargo Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,12,13,3,67,0,53,11.4,13,,,190,26.5,,,82,11.4,69,9.6,3,6.4,,,0,0,51,7.1,49,51
"School","1050","607","2013-14","Auburn Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,1,4,14,6,68,0,70,12.5,14,,,176,24.5,,,90,12.5,87,12.1,10,18.9,,,0,0,28,3.9,54,46
"School","3052","607","2013-14","Winder-Barrow High School","Barrow County","09,10,11,12",6,1,14,12,4,64,0,52,11.2,4,,,,,327,18.2,201,11.2,33,1.8,0,0,1168,65.1,0,0,167,9.3,52,48
"School","4050","607","2013-14","Holsenbeck Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,1,15,12,6,63,0,66,12,10,,,306,33.8,,,109,12,58,6.4,3,6.5,,,0,0,66,7.3,50,50
"School","5050","607","2013-14","Statham Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,14,16,3,62,0,65,9.8,14,,,246,29.4,,,82,9.8,96,11.5,20,33.9,,,0,0,61,7.3,56,44
"District","ALL","607","2013-14","All Column Values","Barrow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",5,0,12,14,4,64,0,61,12.1,9,324,11.2,1843,29.3,857,23.8,1549,12.1,823,6.4,65,17.1,2293,63.8,42,0.3,1112,8.7,52,48
"School","0101","608","2013-14","Woodland Middle School at Euharlee","Bartow County","06,07,08",1,0,8,8,2,80,0,57,12.2,1,118,14,,,,,103,12.2,1,0.1,0,0,,,4,0.5,110,13,51,49
"School","0104","608","2013-14","Clear Creek Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,3,5,3,87,0,64,9.5,4,,,63,11.5,,,52,9.5,9,1.6,14,25.5,,,0,0,84,15.4,49,51
"School","0105","608","2013-14","Adairsville High School","Bartow County","09,10,11,12",1,0,5,5,1,88,0,52,11.7,2,,,,,44,4.7,110,11.7,7,0.7,0,0,719,76.4,13,1.8,141,15,53,47
