"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0300","605","2017-18","Lakeview Academy","Baldwin County","03,04,05",2,0,64,5,3,26,0,66,9.2,5,,,382,48.8,,,72,9.2,9,1.1,0,0,,,0,0,77,9.8,50,50
"School","0301","605","2017-18","Midway Hills Primary","Baldwin County","KK,01,02",1,0,62,2,7,28,0,83,6.8,3,,,241,41.2,,,40,6.8,12,2.1,0,0,,,0,0,23,3.9,51,49
"School","0302","605","2017-18","Lakeview Primary","Baldwin County","PK,KK,01,02",2,0,58,3,4,33,0,71,13.9,1,,,203,31.8,,,89,13.9,0,0,23,8.1,,,0,0,27,4.2,51,49
"School","0303","605","2017-18","Midway Hills Academy","Baldwin County","03,04,05",1,0,63,1,5,30,0,79,11.9,0,,,223,36.8,,,72,11.9,0,0,0,0,,,0,0,46,7.6,52,48
"District","ALL","605","2017-18","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,66,2,4,26,0,72,10.7,2,493,43.2,1049,40.1,117,9.9,530,10.7,30,0.6,23,8.1,639,54.2,346,7.5,326,6.6,51,49
"School","0105","606","2017-18","Banks County Middle School","Banks County","06,07,08",1,0,2,9,2,86,0,61,15.4,3,33,4.9,,,,,103,15.4,8,1.2,0,0,,,11,1.6,64,9.6,51,49
"School","0107","606","2017-18","Banks County Elementary School","Banks County","03,04,05",0,0,1,10,5,84,0,70,17.2,8,,,114,18,,,109,17.2,30,4.7,0,0,,,0,0,27,4.3,50,50
"School","0199","606","2017-18","Banks County High School","Banks County","09,10,11,12",1,0,2,9,1,87,0,53,14,1,,,,,63,7.1,124,14,7,0.8,0,0,651,73.6,0,0,88,9.9,54,46
"School","0205","606","2017-18","Banks County Primary School","Banks County","PK,KK,01,02",0,0,2,6,3,88,0,61,12.9,5,,,170,28.8,,,76,12.9,25,4.2,16,100,,,0,0,4,0.7,52,48
"District","ALL","606","2017-18","All Column Values","Banks County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,2,9,3,86,0,61,14.8,4,33,4.9,284,23.2,63,7.1,412,14.8,70,2.5,16,100,651,73.6,11,0.4,183,6.6,52,48
"School","0101","607","2017-18","Apalachee High School","Barrow County","09,10,11,12",4,0,14,20,4,57,0,52,13.3,6,,,,,248,13.7,241,13.3,56,3.1,0,0,1042,57.5,28,2,191,10.5,51,49
"School","0105","607","2017-18","County Line Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,0,7,20,5,62,1,65,15.4,19,,,167,30.7,,,84,15.4,74,13.6,4,16.7,,,0,0,49,9,53,47
"School","0106","607","2017-18","Haymon-Morris Middle School","Barrow County","06,07,08",3,0,12,19,5,61,0,53,12.1,14,77,9.5,,,,,98,12.1,26,3.2,0,0,,,11,1.4,98,12.1,49,51
"School","0114","607","2017-18","Bear Creek Middle School","Barrow County","06,07,08",4,1,14,18,3,60,0,55,13.3,13,134,17.7,,,,,101,13.3,24,3.2,0,0,,,6,0.8,108,14.3,50,50
"School","0189","607","2017-18","Kennedy Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,17,22,7,50,0,73,18.9,19,,,175,22.9,,,144,18.9,118,15.5,10,20,,,0,0,43,5.6,50,50
"School","0193","607","2017-18","Bramlett Elementary School","Barrow County","PK,KK,01,02,03,04,05",8,0,7,16,5,64,0,46,14.5,17,,,220,32.1,,,99,14.5,84,12.3,7,14.6,,,0,0,41,6,55,45
"School","0198","607","2017-18","Westside Middle School","Barrow County","06,07,08",3,0,13,17,8,58,0,65,14.9,14,95,12.5,,,,,114,14.9,28,3.7,0,0,,,10,1.3,70,9.2,52,48
"School","0205","607","2017-18","Bethlehem Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,10,21,4,61,0,66,13.6,19,,,257,36.5,,,96,13.6,81,11.5,16,27.1,,,0,0,54,7.7,49,51
"School","0289","607","2017-18","Russell Middle School","Barrow County","06,07,08",5,0,12,16,4,62,0,55,14.1,11,188,20.1,,,,,132,14.1,24,2.6,0,0,,,7,0.7,134,14.3,52,48
"School","0298","607","2017-18","Yargo Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,14,18,5,59,0,52,10.4,19,,,239,30.2,,,82,10.4,97,12.2,5,10.6,,,0,0,65,8.2,49,51
