"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0103","601","2020-21","Appling County High School","Appling County","09,10,11,12",1,0,23,15,3,58,5,90,12.7,3,"",,"",,"42",4.2,"128",12.7,"15",1.5,"TFS",0,"613",61.1,"34",4.4,"59",5.9,51,49
"School","0177","601","2020-21","Appling County Elementary School","Appling County","02,03,04,05",0,0,29,24,4,43,9,90,18.3,20,"",,"91",19.4,"",,"86",18.3,"64",13.6,"TFS",0,"",,"TFS",0,"29",6.2,48,52
"School","0195","601","2020-21","Appling County Middle School","Appling County","06,07,08",0,0,23,17,4,55,7,90,16.2,12,"233",28.3,"",,"",,"133",16.2,"39",4.7,"TFS",0,"",,"TFS",1.1,"57",6.9,50,50
"School","0277","601","2020-21","Appling County Primary School","Appling County","PK,KK,01,02",1,0,25,23,5,47,7,90,12.9,20,"",,"141",28.4,"",,"64",12.9,"94",19,"21",14.9,"",,"TFS",0,"TFS",1.6,49,51
"School","1050","601","2020-21","Altamaha Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,6,7,4,83,3,90,13.2,5,"",,"72",20.3,"",,"47",13.2,"15",4.2,"TFS",17.8,"",,"TFS",0,"27",7.6,52,48
"School","5050","601","2020-21","Fourth District Elementary School","Appling County","PK,KK,01,02,03,04,05",0,0,9,15,5,71,4,90,10.3,13,"",,"28",22.2,"",,"13",10.3,"16",12.7,"TFS",0,"",,"TFS",0,"10",7.9,56,44
"District","ALL","601","2020-21","All Column Values","Appling County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,22,17,4,56,6,90,14.4,11,"233",28.3,"332",23,"42",4.2,"471",14.4,"243",7.4,"29",14.4,"613",61.1,"43",1.4,"190",5.8,50,50
"School","0103","602","2020-21","Atkinson County High School","Atkinson County","09,10,11,12",0,0,15,37,1,47,5,80,10.3,8,"",,"",,"81",17.4,"48",10.3,"15",3.2,"TFS",0,"331",71,"TFS",2.4,"26",5.6,51,49
"School","0111","602","2020-21","Atkinson County Middle School","Atkinson County","06,07,08",0,0,16,45,2,38,7,86,14.4,22,"69",18.8,"",,"",,"53",14.4,"21",5.7,"TFS",0,"",,"TFS",1.3,"13",3.5,54,46
"School","0187","602","2020-21","Willacoochee Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,25,30,1,44,11,91,3.3,23,"",,"77",51,"",,"TFS",3.3,"27",17.9,"TFS",0,"",,"TFS",0,"TFS",2.6,47,53
"School","0190","602","2020-21","Pearson Elementary School","Atkinson County","PK,KK,01,02,03,04,05",0,0,12,46,2,40,9,86,13.8,29,"",,"249",43.5,"",,"79",13.8,"114",19.9,"TFS",4.4,"",,"TFS",0,"11",1.9,53,47
"District","ALL","602","2020-21","All Column Values","Atkinson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,15,41,2,42,8,85,11.9,20,"69",18.8,"326",45.1,"81",17.4,"185",11.9,"177",11.4,"TFS",3.3,"331",71,"13",0.9,"54",3.5,52,48
"School","0102","603","2020-21","Bacon County Primary School","Bacon County","PK,KK,01,02",0,0,27,15,4,54,3,85,13.4,9,"",,"202",45.2,"",,"60",13.4,"38",8.5,"14",14.4,"",,"TFS",0,"17",3.8,51,49
"School","0202","603","2020-21","Bacon County Middle School","Bacon County","06,07,08",0,0,20,15,5,60,4,77,16.5,9,"76",15.7,"",,"",,"80",16.5,"13",2.7,"TFS",0,"",,"TFS",1.4,"43",8.9,49,51
"School","0302","603","2020-21","Bacon County High School","Bacon County","09,10,11,12",0,0,20,14,2,64,3,52,14.8,2,"",,"",,"59",9.6,"91",14.8,"10",1.6,"TFS",0,"494",80.6,"TFS",2,"56",9.1,54,46
"School","3050","603","2020-21","Bacon County Elementary School","Bacon County","03,04,05",0,0,21,15,7,58,3,85,20.4,10,"",,"155",35.6,"",,"89",20.4,"27",6.2,"TFS",0,"",,"TFS",0,"30",6.9,52,48
"District","ALL","603","2020-21","All Column Values","Bacon County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,22,14,4,59,3,73,16.2,7,"76",15.7,"357",40.4,"59",9.6,"320",16.2,"88",4.4,"14",14.4,"494",80.6,"16",0.9,"146",7.4,52,48
"School","0105","604","2020-21","Baker County K12 School","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,54,15,6,24,3,100,17.8,1,"58",96.7,"130",94.2,"TFS",0,"49",17.8,"TFS",0.4,"TFS",0,"37",47.4,"TFS",0,"",,56,44
"District","ALL","604","2020-21","All Column Values","Baker County","KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,54,15,6,24,3,100,17.8,1,"58",96.7,"130",94.2,"TFS",0,"49",17.8,"TFS",0.4,"TFS",0,"37",47.4,"TFS",0,"",,56,44
"School","0100","605","2020-21","Oak Hill MS","Baldwin County","06,07,08",1,0,71,3,4,21,0,93,13.9,2,"524",44.6,"",,"",,"163",13.9,"TFS",0.2,"TFS",0,"",,"11",1,"87",7.4,50,50
"School","0189","605","2020-21","Baldwin High School","Baldwin County","09,10,11,12",2,0,73,3,3,19,0,93,9.9,1,"",,"",,"287",23,"124",9.9,"TFS",0.4,"TFS",0,"715",57.3,"TFS",0,"32",2.6,49,51
"School","0300","605","2020-21","Lakeview Academy","Baldwin County","03,04,05",2,0,59,4,6,28,0,93,17.6,5,"",,"217",34,"",,"112",17.6,"24",3.8,"TFS",0,"",,"TFS",0,"67",10.5,51,49
"School","0301","605","2020-21","Midway Hills Primary","Baldwin County","KK,01,02",1,0,59,1,6,33,0,93,10.8,0,"",,"240",46.3,"",,"56",10.8,"TFS",0,"TFS",0,"",,"TFS",0,"25",4.8,50,50
