#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLL_PCT_ASIAN,ENROLL_PCT_NATIVE,ENROLL_PCT_BLACK,ENROLL_PCT_HISPANIC,ENROLL_PCT_MULTIRACIAL,ENROLL_PCT_WHITE,ENROLL_PCT_MIGRANT,ENROLL_PCT_ED,ENROLL_PCT_SWD,ENROLL_PCT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PCT_MALE,ENROLL_PCT_FEMALE
"Enrollment_by_Subgroup_Metrics","2022-23","District","616","Bulloch County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","38","8","5","48","1","63","15.3","3","33.3","33.3","1904","38.1","340","10.7","1612","15.3","182","1.7","107","20.8","2255","70.9","43",".4","1113","10.5","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","617","Burke County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","62","5","4","28","TFS","100","11.9","2","61.5","61.5","304","18","218","18.6","444","11.9","40","1.1","25","10","640","54.7","51","1.5","289","7.7","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","618","Butts County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","32","6","6","56","TFS","83","13.2","1","22.3","22.3","510","32.6","55","5.1","448","13.2","11",".3","30","18.3","642","60","38","1.2","258","7.6","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","619","Calhoun County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","96","3","TFS","1","TFS","100","8.9","3","93.9","93.9","77","40.5","56","34.4","40","8.9","TFS","TFS","TFS","TFS","152","93.3","TFS","TFS",,,"53","47"
"Enrollment_by_Subgroup_Metrics","2022-23","District","620","Camden County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","20","10","10","58","TFS","45","17.5","1","21.4","21.4","898","20.5","450","16.8","1619","17.5","93","1","99","34.7","1860","69.6","143","1.7","1175","12.7","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","621","Candler County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","28","20","5","47","3","84","14.6","4","25.9","25.9","301","32.9","35","5.5","302","14.6","72","3.5","21","16.5","345","53.7","24","1.3","69","3.3","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","622","Carroll County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","19","11","7","62","TFS","60","13.1","4","31.1","31.1","2186","31.1","1045","22.2","2015","13.1","453","2.9","83","13.5","3030","64.3","165","1.1","2104","13.7","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","623","Catoosa County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","4","6","5","84","TFS","44","16.2","2","35.2","35.2","1223","27.4","310","9.3","1639","16.2","158","1.6","66","21","2074","62.5","101","1.1","1694","16.7","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","624","Charlton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","1","28","3","7","61","TFS","71","17.6","TFS","28.3","28.3","203","26.9","70","15.5","281","17.6","TFS","TFS","12","12.9","190","42","20","1.4","68","4.3","53","47"
"Enrollment_by_Subgroup_Metrics","2022-23","District","625","Savannah-Chatham County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3","TFS","57","14","6","21","TFS","69","13.2","7","27.3","27.3","5786","34.7","2020","20.2","4592","13.2","1651","4.7","271","17.2","4800","48.1","281",".9","6022","17.3","51","49"
