"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2017","2017",4,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2018","2018",4,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2019","2019",4,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2020","2020",4,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2021","2021",4,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2022","2022",4,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2017","2017",3,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2018","2018",3,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2019","2019",3,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2020","2020",3,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2021","2021",3,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2022","2022",3,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2017","2017",1,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2018","2018",1,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2019","2019",1,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2020","2020",1,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2021","2021",1,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2022","2022",1,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2017","2017",7,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2018","2018",7,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2019","2019",7,,
