object_id,nces_sch_id,nces_sys_id,orig_state_id,sys_id,sch_id,shape_length,shape_area,sspi,sys_name,sch_name,cluster,n_stu_19,title_i,grade,star_rtg,asian,native,black,hisp,multi,white,frpl,swd,lep,mobility,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma,fiscal_year,sys_sch,system_id,system_name,school_id,school_name,direct_cert_perc,k12_poverty_student_ct,k12_student_count
411,130012000091,1300120,GA-761-4056,761,4056,0.0902663256,0.000300114646699,-1.01690793656701,Atlanta Public Schools,Cleveland Elementary School,E,337,N,D,3,0,0,93,5,1,0,76.300003,13,6,33.1,62.1,80.233,78.518,86.255,75.926,90.6,17.3,26.9,22.4,20.7,24,24,2024,7614056,761,Atlanta Public Schools,4056,Cleveland Avenue Elementary School,88.0999984741211,207,235
319,130012000092,1300120,GA-761-0196,761,0196,0.109949143333,0.000340696903325,-2.64517626509602,Atlanta Public Schools,Cascade Elementary School,E,405,N,F,2,0,0,99,1,0,0,75.800003,14,7,39.5,44.8,76.256,69.711,72.679,86.379,86,7,16.2,8.2,12.2,18,8.2,2024,761196,761,Atlanta Public Schools,196,Cascade Elementary School,93,254,273
1831,130012000099,1300120,GA-761-3566,761,3566,0.136551858357,0.000453239002095,-0.802722116546301,Atlanta Public Schools,Scott Elementary School,E,363,N,F,3,0,0,94,5,0,1,79.900002,13,4,32,51.6,78.241,67.887,79.237,87.599,88.8,16.1,32.1,8.2,18,9.3,14.8,2024,7613566,761,Atlanta Public Schools,3566,William J. Scott Elementary School,89.8000030517578,264,294
711,130012000103,1300120,GA-761-3559,761,3559,0.260448118047,0.000966331705561,-0.868409270060053,Atlanta Public Schools,Fickett Elementary School,E,512,N,C,3,0,0,97,2,1,0,72.699997,12,3,28.5,70.7,78.919,72.739,77.388,86.63,89.7,31.6,51.3,24.5,36.7,21.5,27.7,2024,7613559,761,Atlanta Public Schools,3559,R. N. Fickett Elementary School,86.5999984741211,387,447
1620,130012000106,1300120,GA-761-3065,761,3065,0.139464822015,0.000661420148903,-1.67184447500155,Atlanta Public Schools,Peyton Forest Elementary School,E,457,N,D,2,1,0,89,9,1,0,65.400002,12,7,42.4,69.5,76.966,70.963,81.481,78.452,86.8,22.2,30.6,24.3,44.2,26.6,20,2024,7613065,761,Atlanta Public Schools,3065,Peyton Forest Elementary School,85.3000030517578,244,286
455,130012000113,1300120,GA-761-3057,761,3057,0.147662510268,0.000652744504506,-1.91294155367082,Atlanta Public Schools,Continental Colony Elementary School,E,411,N,D,3,0,0,97,2,1,0,74.900002,10,3,38.4,67.2,76.639,69.133,72.691,88.095,89.7,13.2,23.7,11.1,22.2,26.1,23.1,2024,7613057,761,Atlanta Public Schools,3057,Continental Colony Elementary School,92,289,314
144,130012000118,1300120,GA-761-3051,761,3051,0.145680986227,0.00054515090557,-1.32751261194659,Atlanta Public Schools,Beecher Hills Elementary School,E,270,N,D,3,0,0,97,1,1,0,59.299999,16,1,10.8,65.6,82.115,74.026,85.743,86.575,91.5,35.7,21.5,44,46.4,29.5,27.4,2024,7613051,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,71.4000015258789,165,231
2195,130012000121,1300120,GA-761-2569,761,2569,0.114979257188,0.000395389133659,-0.0424069818487875,Atlanta Public Schools,West Manor Elementary School,E,278,N,C,3,1,0,83,13,3,0,61.900002,5,14,22.6,78,76.274,74.21,81.191,73.419,89.1,38.6,47.7,40.4,38.5,41.3,23.9,2024,7612569,761,Atlanta Public Schools,2569,West Manor Elementary School,84.9000015258789,202,238
1616,130012000122,1300120,GA-761-0296,761,0296,0.102876979203,0.000624953967887,-2.4714236599284,Atlanta Public Schools,T. J. Perkerson Elementary School,E,383,N,F,2,0,0,95,4,1,0,78.599998,9,2,34.5,48.4,75.826,69.747,76.391,81.338,85.4,15.4,27,7,16.7,15.8,3.5,2024,761296,761,Atlanta Public Schools,296,T. J. Perkerson Elementary School,90.5,294,325
1872,130012000124,1300120,GA-761-1567,761,1567,0.234770780809,0.00135828992053,5.22897138912731,Atlanta Public Schools,Smith Elementary School,E,979,N,A,3,7,0,21,22,6,45,10.8,9,17,11.5,91,80.664,76.843,80.62,84.529,87.2,58.8,65.8,56.5,73,68.5,59.4,2024,7611567,761,Atlanta Public Schools,1567,Sara Rawson Smith Elementary School,36.0999984741211,298,826
214,130012000127,1300120,GA-761-2053,761,2053,0.246127665422,0.00160044921172,5.27683278629662,Atlanta Public Schools,Brandon Elementary School,E,1008,N,A,4,5,0,16,8,4,67,5.5,8,6,9.9,96,83.136,74.435,84.173,90.8,93.9,79.3,86.6,72.9,77.4,78,78.1,2024,7612053,761,Atlanta Public Schools,2053,Morris Brandon Elementary School,18.2000007629395,159,872
