"","College_Name","City","State","Year_Founded","Mascot","Population","F__Black","Latitude","Longitude","primary_color","secondary_color"
"54","Johnson C Smith Theological Seminary","Atlanta","GA",1969,"Golden Bull",1253,0.83,33.7907,-84.3857,NA,NA
"55","Johnson C. Smith University","Charlotte","NC",1867,"Golden Bull",1253,0.83,35.2434,-80.8558,"#FCCB06","#062849"
"56","Fisk University","Nashville","TN",1866,"Bulldog",853,0.83,36.1673,-86.8036,"#F4BA13","#2A56DF"
"57","Coppin State University","Baltimore","MD",1900,"Bald Eagle",2108,0.82,39.3126,-76.658,"#003056","#FFC915"
"58","Morgan State University","Baltimore","MD",1867,"Bear",7747,0.8,39.3438,-76.5844,"#1B4383","#F47937"
"59","Bowie State University","Bowie","MD",1865,"Bulldog",5354,0.8,39.0193,-76.7593,"#FFCE00","#1D252C"
"60","Lawson State Community College","Birmingham","AL",1950,"Cougar",3274,0.8,33.4506,-86.8892,"#0A1B7E","#FABB24"
"61","Savannah State University","Savannah","GA",1890,"Tiger",3250,0.8,32.0242,-81.0626,"#F24D17","#002294"
"62","Wiley College","Marshall","TX",1873,"Wildcat",1400,0.8,32.5385,-94.3752,NA,NA
"63","Texas Southern University","Houston","TX",1947,"Tiger",10514,0.79,29.7214,-95.3593,"#7C183E","#9DA6AB"
"64","Bethune Cookman University","Daytona Beach","FL",1904,"Wildcat",3773,0.79,29.211,-81.0316,"#F2A900","#6F263D"
"65","Oakwood University","Huntsville","AL",1896,"The Ambassador",1461,0.79,34.7518,-86.6558,"#FEC524","#1946BA"
"66","Paul Quinn College","Dallas","TX",1872,"Tiger",424,0.79,32.6788,-96.7545,"#873494","#000000"
"67","Jarvis Christian College","Hawkins","TX",1912,"Bulldogs",905,0.78,32.5892,-95.1798,NA,NA
"68","North Carolina A&T State University","Greensboro","NC",1891,"Bulldog",11130,0.75,36.077,-79.7718,NA,NA
"69","Winston-Salem State University","Winston Salem","NC",1892,"Ram",4656,0.75,36.0898,-80.335,NA,NA
"70","North Carolina Central University","Durham","NC",1910,"Eagle",8096,0.74,35.9752,-78.8997,"#862633","#898D8D"
"71","Albany State University","Albany","GA",1903,"Rams",5778,0.74,31.5691,-84.1404,"#0033A0","#EAAA00"
"72","Knoxville College","Knoxville","TN",1875,"Bulldog",100,0.74,35.9703,-83.9435,"#2A317C","#98012E"
"73","Morehouse College","Atlanta","GA",1867,"Maroon Tiger",2167,0.73,33.7473,-84.4155,"#840028","#FFFFFF"
"74","Tennessee State University","Nashville","TN",1912,"Tiger",9027,0.72,36.1684,-86.8259,"#00539F","#FFFFFF"
"75","H. Councill Trenholm State Community College","Montgomery","AL",1963,"Torches",1526,0.71,32.3503,-86.343,NA,NA
"76","Dillard University","New Orleans","LA",1869,"Bleu Devil",1215,0.71,29.9966,-90.0663,"#003594","#789D4A"
"77","Langston University","Langston","OK",1897,"Lion",2026,0.7,35.946,-97.2629,"#1B3668","#F2682A"
"78","University of the Virgin Islands","St. Thomas &  St. Croix","USVI",1962,"Buccaneer",1587,0.68,18.3432,-64.9729,"#0043FA","#FFFFFF"
"79","Elizabeth City State University","Elizabeth City","NC",1891,"Viking",2054,0.67,36.2811,-76.214,"#264391","#FFFFFF"
"80","Delaware State University","Dover","DE",1891,"Hornet",4131,0.66,39.1861,-75.5423,"#EE3124","#72CDF4"
"81","The Lincoln University","Lincoln University","PA",1854,"Lion",2361,0.65,39.8071,-75.9282,NA,NA
"82","Florida Memorial University","Miami Gardens","FL",1879,"Lion",1339,0.65,25.9179,-80.2685,"#24469A","#F6891F"
"83","Huston-Tillotson University","Austin","TX",1975,"Rams",1160,0.65,30.2646,-97.7223,NA,NA
"84","University of the District of Columbia","DC","DC",1851,"Firebirds",5667,0.59,38.9446,-77.0656,"#B7312C","#EFBD47"
"85","Shaw University","Raleigh","NC",1865,"Bears",1174,0.58,35.771,-78.6379,"#960A2C","#FFFFFF"
"86","Fayetteville State University","Fayetteville","NC",1867,"Bronco",5661,0.56,35.0742,-78.8925,"#0067B1","#B0B7BC"
"87","Hinds County Community College","Utica","MS",1917,"Eagles",12811,0.53,32.254,-90.4134,NA,NA
"88","St. Augustine's University","Raleigh","NC",1867,"Falcons",1508,0.53,35.7877,-78.6189,"#003767","#FFFFFF"
"89","J.F. Drake State Technical College","Huntsville","AL",1961,"Blue Eagle",831,0.53,34.7718,-86.5733,NA,NA
"90","Lincoln University","Jefferson City","MO",1854,"Lion",2361,0.52,39.8071,-75.9282,"#F2581C","#232E66"
"91","Kentucky State University","Frankfort","KY",1886,"Thorobreds",1926,0.51,38.2003,-84.8558,"#056839","#FFDE16"
"92","Lane College","Jackson","TN",1882,"Dragon",2200,0.49,35.6281,-88.8064,"#C41B31","#193050"
"93","Cheyney University","Cheyney","PA",1837,"Wolf",616,0.38,39.9334,-75.5295,NA,NA
"94","Charles Drew University of Medicine & Science","Los Angeles","CA",1966,"Lions",656,0.37,33.9256,-118.2425,NA,NA
"95","Arkansas Baptist College","Little Rock","AR",1884,"Buffaloes",990,0.36,34.735,-92.2904,"#985BA3","#F3A913"
"96","Shelton State Community College","Tuscaloosa","AL",1952,"Buccaneer",5307,0.35,33.1206,-87.5615,"#008000","#50C878"
"97","Denmark Technical College","Denmark","SC",1947,"Panthers",489,0.26,33.3118,-81.1258,"#0050B5","#FFFFFF"
"98","Southwestern Christian College","Terrell","TX",1948,"Ram",224,0.24,32.7353,-96.2861,"#0039A6","#FFFFFF"
"99","Jackson State University","Jackson","MS",1877,"Wavee Dave",9811,0.21,32.2969,-90.2064,"#002147","#FFFFFF"
"100","Gadsden State College","Gadsden","AL",1965,"Swoop",7031,0.163,33.995,-85.9916,NA,NA
"101","St. Philip's College","San Antonio","TX",1898,"Tiger",11198,0.11,29.4163,-98.4547,"#0033FF","#FFFFFF"
"102","Xavier University","New Orleans","LA",1831,"Musketeer",6798,0.09,29.9652,-90.1069,"#FFC530","#FFFFFF"
"103","Allen University","Columbia","SC",1870,"Yellow Jacket",848,0.09,34.0107,-81.0203,"#00539B","#C4A912"
"104","West Virginia State University","Institute","WV",1891,"Yellow Jacket",4009,0.08,38.379,-81.7666,"#D6B853","#242423"
"105","Carver College","Atlanta","GA",1943,"Cougars",177,0.07,33.7244,-84.5151,"#4169E1","#FFFFFF"
"106","Bluefield State College","Bluefield","WV",1895,"Big Blue",2063,0.05,37.2645,-81.2407,"#192C4E","#C6A566"
