Team1,Team2,Trophy,Start_Year,Team2_Team1_Id,Team2_Team1_School,Team2_Team1_Mascot,Team2_Team1_Abbreviation,Team2_Team1_Alt Name1,Team2_Team1_Alt Name2,Team2_Team1_Alt Name3,Team2_Team1_Conference,Team2_Team1_Division,Team2_Team1_Color,Team2_Team1_Alt Color,Team2_Team1_Logos[0],Team2_Team1_Logos[1],Team2_Team1_Twitter,Team2_Team1_Location Venue Id,Team2_Team1_Location Name,Team2_Team1_Location City,Team2_Team1_Location State,Team2_Team1_Location Zip,Team2_Team1_Location Country Code,Team2_Team1_Location Timezone,Team2_Team1_Location Latitude,Team2_Team1_Location Longitude,Team2_Team1_Location Elevation,Team2_Team1_Location Capacity,Team2_Team1_Location Year Constructed,Team2_Team1_Location Grass,Team2_Team1_Location Dome,Team2_Id,Team2_School,Team2_Mascot,Team2_Abbreviation,Team2_Alt Name1,Team2_Alt Name2,Team2_Alt Name3,Team2_Conference,Team2_Division,Team2_Color,Team2_Alt Color,Team2_Logos[0],Team2_Logos[1],Team2_Twitter,Team2_Location Venue Id,Team2_Location Name,Team2_Location City,Team2_Location State,Team2_Location Zip,Team2_Location Country Code,Team2_Location Timezone,Team2_Location Latitude,Team2_Location Longitude,Team2_Location Elevation,Team2_Location Capacity,Team2_Location Year Constructed,Team2_Location Grass,Team2_Location Dome
Louisville,Kentucky,Governor's Cup,,97.0,Louisville,Cardinals,LOU,,LOU,Louisville,ACC,,#c9001f,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/97.png,@LouisvilleFB,3873.0,L&N Federal Credit Union Stadium,Louisville,KY,40292.0,US,America/Kentucky/Louisville,38.2057621,-85.7588141,138.5615997,60000.0,1998.0,False,False,96.0,Kentucky,Wildcats,UK,,UK,Kentucky,SEC,,#0033a0,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/96.png,@UKFootball,3683.0,Kroger Field,Lexington,KY,40506.0,US,America/New_York,38.0220905,-84.5053408,307.4248962,61000.0,1973.0,False,False
Kansas,Missouri,Border War,,2305.0,Kansas,Jayhawks,KU,,KU,Kansas,Big 12,,#0051ba,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png,@KU_Football,3833.0,Memorial Stadium,Lawrence,KS,66045.0,US,America/Chicago,38.9629418,-95.2463686,274.855957,47000.0,1921.0,False,False,142.0,Missouri,Tigers,MIZ,,MIZ,Missouri,SEC,,#f1b82d,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/142.png,@MizzouFootball,3838.0,Memorial Stadium,Columbia,MO,65211.0,US,America/Chicago,38.9358491,-92.3332009,212.6865692,71168.0,1927.0,False,False
Ole Miss,Mississippi State,Egg Bowl,,145.0,Ole Miss,Rebels,MISS,,MISS,Ole Miss,SEC,,#13294b,#c8102e,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png,@OleMissFB,3974.0,Vaught-Hemingway Stadium,Oxford,MS,38677.0,US,America/Chicago,34.3619837,-89.5342076,146.8517151,64038.0,1915.0,True,False,344.0,Mississippi State,Bulldogs,MSST,,MSST,Mississippi St,SEC,,#5d1725,#c1c6c8,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/344.png,@HailStateFB,3693.0,Davis Wade Stadium,Starkville,MS,39762.0,US,America/Chicago,33.4563403,-88.7933652,110.2742081,61337.0,1914.0,True,False
Arizona,Arizona State,Territorial Cup,,12.0,Arizona,Wildcats,ARIZ,,ARIZ,Arizona,Big 12,,#0c234b,#ab0520,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png,@ArizonaFBall,3619.0,Arizona Stadium,Tucson,AZ,85721.0,US,America/Phoenix,32.2288054,-110.9488677,742.1530151,50782.0,1928.0,False,False,9.0,Arizona State,Sun Devils,ASU,,ASU,Arizona St,Big 12,,#8e0c3a,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png,@ASUFootball,3947.0,Mountain America Stadium,Tempe,AZ,85287.0,US,America/Phoenix,33.4264471,-111.9325005,360.1569519,65870.0,1958.0,True,False
University of Cincinnati,Miami University (Ohio),Victory Bell,1888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Minnesota,University of Wisconsin,Paul Bunyan's Axe,1890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Missouri,University of Kansas,Telephone Trophy,1891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford University,"University of California, Berkeley",Stanford Axe,1892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Iowa,Iowa State University,Cy-Hawk Trophy,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Virginia,Virginia Tech,Commonwealth Cup,1895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,Virginia Tech,Hokies,VT,,VT,Virginia Tech,ACC,,#630031,#cf4520,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/259.png,@VT_Football,3799.0,Lane Stadium,Blacksburg,VA,24061.0,US,America/New_York,37.2199873,-80.4180643,632.2631226,65632.0,1965.0,True,False
Brigham Young University,University of Utah,Beehive Boot,1896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Washington,Washington State University,Apple Cup Trophy,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Mississippi,Mississippi State University,Egg Bowl Trophy,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Texas at Austin,University of Oklahoma,Golden Hat,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan,University of Minnesota,Little Brown Jug,1903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University,Purdue University,Old Oaken Bucket,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Illinois,Ohio State University,Illibuck Trophy,1925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Notre Dame,University of Southern California,Jeweled Shillelagh,1926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Mississippi,Mississippi State University,Golden Egg,1927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, Los Angeles",University of Southern California,Victory Bell,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Iowa,University of Minnesota,Floyd of Rosedale,1935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Akron,Kent State University,Wagon Wheel,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Methodist University,Texas Christian University,Iron Skillet,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Notre Dame,Michigan State University,Megaphone Trophy,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana University,Michigan State University,Old Brass Spittoon,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan,Michigan State University,Paul Bunyan Trophy,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Florida,Florida State University,Seminole War Canoe,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Oregon,Oregon State University,Platypus Trophy,1959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado State University,University of Wyoming,Bronze Boot,1968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of Nevada, Reno","University of Nevada, Las Vegas",Fremont Cannon,1969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Military Academy,United States Naval Academy,Commander-in-Chief's Trophy,1972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Minnesota,Pennsylvania State University,Governor's Victory Bell,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State University,Pennsylvania State University,Land Grant Trophy,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Kentucky,University of Louisville,Governor's Cup,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Arkansas,Louisiana State University,Golden Boot,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,University of Notre Dame,Ireland Trophy,1996.0,103.0,Boston College,Eagles,BC,,BC,Boston College,ACC,,#8c2232,#dbcca6,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png,@BCFootball,3615.0,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,2467.0,US,America/New_York,42.335104,-71.1664413,39.82634354,44500.0,1957.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Iowa,University of Nebraska,Heroes Trophy,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
